SMILES,Number
O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[K+],107
[Cl-].[Na+],108
O=S(=O)([O-])[O-].[Zn+2],109
C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,110
C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,111
CC12C=CC(C(=O)O[C@H]3CC[C@H]4[C@@H]5CCC6=CC(=O)CC[C@@H]6[C@H]5CC[C@]34C)(CC1)CC2,112
NC(=O)CC[C@H](N)C(=O)O,113
NCCS,114
NC(=O)N[C@@H](CCC(=O)O)C(=O)O,115
O=C(O)CCCCC1CCSS1,116
O=C([O-])CCCc1ccccc1.[Na+],117
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],118
CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,119
C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1,120
CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](N)Cc1c[nH]cn1)[C@@H](C)O)[C@@H](C)CC)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)O)[C@@H](C)CC,121
O=C(CCCc1ccccc1)OCC(COC(=O)CCCc1ccccc1)OC(=O)CCCc1ccccc1,122
CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,123
O=C([O-])c1ccccc1.[Na+],124
OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,125
Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(-c3ccc(C[C@H](N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)n1,126
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,127
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,128
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,129
Clc1ccccc1CN1CCc2sccc2C1,130
CC(=O)Oc1ccccc1C(=O)O,131
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,132
